0.1991 0.3660 100.0000 10000.0000 12000.0000 1.0000
7.7668 14.2737 100.0000 10000.0000 12000.0000 1.0000
7.9150 14.5460 99.8933 10000.0000 12000.0000 1.0000
7.9150 14.5460 0.3100 10000.0000 12000.0000 1.0000
7.9005 14.5667 0.0195 2000.0000 12000.0000 1.0000
7.8526 14.6349 0.0180 2000.0000 12000.0000 1.0000
7.8028 14.7017 0.0165 2000.0000 12000.0000 1.0000
7.5351 15.0208 0.0090 2000.0000 12000.0000 1.0000
7.4799 15.0831 0.0076 2000.0000 12000.0000 1.0000
7.1853 15.3777 0.0010 2000.0000 12000.0000 1.0000
7.1250 15.4351 -0.0004 2000.0000 12000.0000 1.0000
6.8058 15.7029 -0.0079 2000.0000 12000.0000 1.0000
6.7409 15.7550 -0.0094 2000.0000 12000.0000 1.0000
6.3998 15.9943 -0.0168 2000.0000 12000.0000 1.0000
6.3308 16.0408 -0.0183 2000.0000 12000.0000 1.0000
5.9699 16.2490 -0.0258 2000.0000 12000.0000 1.0000
5.8971 16.2895 -0.0272 2000.0000 12000.0000 1.0000
5.5195 16.4654 -0.0339 2000.0000 12000.0000 1.0000
5.4435 16.4995 -0.0352 2000.0000 12000.0000 1.0000
5.0520 16.6419 -0.0427 2000.0000 12000.0000 1.0000
4.9735 16.6696 -0.0442 2000.0000 12000.0000 1.0000
4.5711 16.7774 -0.0516 2000.0000 12000.0000 1.0000
4.4904 16.7983 -0.0531 2000.0000 12000.0000 1.0000
4.0801 16.8704 -0.0606 2000.0000 12000.0000 1.0000
3.9980 16.8844 -0.0621 2000.0000 12000.0000 1.0000
3.5830 16.9209 -0.0695 2000.0000 12000.0000 1.0000
3.5000 16.9280 -0.0710 2000.0000 12000.0000 1.0000
3.0001 16.9280 -0.0790 2000.0000 12000.0000 1.0000
2.5021 16.8843 -0.0879 2000.0000 12000.0000 1.0000
2.4200 16.8701 -0.0894 2000.0000 12000.0000 1.0000
2.0097 16.7978 -0.0969 2000.0000 12000.0000 1.0000
1.9291 16.7767 -0.0984 2000.0000 12000.0000 1.0000
1.5267 16.6690 -0.1059 2000.0000 12000.0000 1.0000
1.4482 16.6412 -0.1072 2000.0000 12000.0000 1.0000
1.0567 16.4985 -0.1138 2000.0000 12000.0000 1.0000
0.9809 16.4642 -0.1153 2000.0000 12000.0000 1.0000
0.6032 16.2882 -0.1228 2000.0000 12000.0000 1.0000
0.5305 16.2476 -0.1243 2000.0000 12000.0000 1.0000
0.1695 16.0398 -0.1317 2000.0000 12000.0000 1.0000
